N,T,execucao,tempo
100000,1,1,0.000045
100000,2,1,0.001697
100000,4,1,0.000017
100000,8,1,0.000004
100000,16,1,0.001833
100000,1,2,0.000028
100000,2,2,0.000018
100000,4,2,0.000949
100000,8,2,0.000005
100000,16,2,0.001714
100000,1,3,0.000030
100000,2,3,0.000030
100000,4,3,0.000027
100000,8,3,0.001819
100000,16,3,0.001802
100000,1,4,0.000029
100000,2,4,0.000017
100000,4,4,0.000041
100000,8,4,0.000005
100000,16,4,0.001537
100000,1,5,0.000031
100000,2,5,0.000760
100000,4,5,0.005073
100000,8,5,0.002443
100000,16,5,0.001127
500000,1,1,0.000245
500000,2,1,0.001826
500000,4,1,0.001272
500000,8,1,0.003290
500000,16,1,0.001084
500000,1,2,0.001761
500000,2,2,0.001813
500000,4,2,0.000228
500000,8,2,0.000132
500000,16,2,0.001650
500000,1,3,0.000167
500000,2,3,0.000247
500000,4,3,0.000176
500000,8,3,0.000131
500000,16,3,0.000704
500000,1,4,0.001918
500000,2,4,0.000749
500000,4,4,0.000193
500000,8,4,0.000229
500000,16,4,0.002419
500000,1,5,0.000191
500000,2,5,0.000169
500000,4,5,0.000187
500000,8,5,0.000114
500000,16,5,0.001665
1000000,1,1,0.000436
1000000,2,1,0.005579
1000000,4,1,0.000642
1000000,8,1,0.000459
1000000,16,1,0.002583
1000000,1,2,0.000445
1000000,2,2,0.000541
1000000,4,2,0.000507
1000000,8,2,0.000435
1000000,16,2,0.001855
1000000,1,3,0.000440
1000000,2,3,0.000502
1000000,4,3,0.000444
1000000,8,3,0.000419
1000000,16,3,0.002007
1000000,1,4,0.000472
1000000,2,4,0.000595
1000000,4,4,0.000421
1000000,8,4,0.000397
1000000,16,4,0.002076
1000000,1,5,0.000463
1000000,2,5,0.000558
1000000,4,5,0.000430
1000000,8,5,0.000403
1000000,16,5,0.002025
