N,Versao,T,mean,std,tempo_seq,speedup
100000,v1 (Sequencial),1,0.0202,0.008671793355471517,0.0202,1.0
100000,v2 (SIMD),1,0.0176,0.0058137767414994535,0.0202,1.1477272727272727
100000,v3 (OMP+SIMD),1,0.032600000000000004,0.007021395872616788,0.0202,0.6196319018404907
100000,v3 (OMP+SIMD),2,0.5044,0.7393959020714139,0.0202,0.04004758128469469
100000,v3 (OMP+SIMD),4,1.2214,2.1897225395012954,0.0202,0.01653839855903062
100000,v3 (OMP+SIMD),8,0.8552,1.1853523526783083,0.0202,0.02362020579981291
100000,v3 (OMP+SIMD),16,1.6026,0.2897210727579199,0.0202,0.012604517658804442
500000,v1 (Sequencial),1,0.2088,0.10495332295835134,0.2088,1.0
500000,v2 (SIMD),1,0.15660000000000002,0.05614089418596751,0.2088,1.3333333333333333
500000,v3 (OMP+SIMD),1,0.8564,0.8996020231191123,0.2088,0.2438113031293788
500000,v3 (OMP+SIMD),2,0.9607999999999999,0.814882322792684,0.2088,0.21731890091590345
500000,v3 (OMP+SIMD),4,0.4112,0.48159495429250504,0.2088,0.5077821011673151
500000,v3 (OMP+SIMD),8,0.7792,1.4043111122539764,0.2088,0.2679671457905544
500000,v3 (OMP+SIMD),16,1.5044,0.6520853471747392,0.2088,0.13879287423557565
1000000,v1 (Sequencial),1,0.5368,0.12631191551077042,0.5368,1.0
1000000,v2 (SIMD),1,0.4652,0.10312468181769098,0.5368,1.1539122957867585
1000000,v3 (OMP+SIMD),1,0.45119999999999993,0.015546703830715967,0.5368,1.1897163120567378
1000000,v3 (OMP+SIMD),2,1.5550000000000002,2.2497327619075116,0.5368,0.3452090032154341
1000000,v3 (OMP+SIMD),4,0.4888,0.09200923866656004,0.5368,1.0981996726677579
1000000,v3 (OMP+SIMD),8,0.4226,0.025155516293648178,0.5368,1.2702318977756746
1000000,v3 (OMP+SIMD),16,2.1092,0.27737195243931906,0.5368,0.2545040773753082
